29 de julho	20522	305	562	32	41	79213
30 de julho	15235	256	436	130	37	79279
31 de julho	11829	209	309	26	29	79334
1 de agosto	20216	302	519	38	30	79392
2 de agosto	19124	295	402	18	34	79453
3 de agosto	16347	291	389	21	29	79490
4 de agosto	25153	311	675	25	41	79549
5 de agosto	58685	607	1061	47	73	79672
6 de agosto	44597	499	736	54	61	79769
7 de agosto	46290	436	595	29	43	79850
8 de agosto	18485	274	324	12	25	79883
9 de agosto	15755	241	346	12	18	79914
10 de agosto	12148	206	248	16	18	79956
11 de agosto	16247	222	351	12	24	79982
12 de agosto	15272	215	269	14	12	80013
13 de agosto	15762	259	261	20	24	80045
14 de agosto	14247	246	311	23	34	80094
15 de agosto	13163	240	315	13	27	80132
16 de agosto	11244	245	236	13	15	80164
17 de agosto	11899	219	270	5	13	80204
18 de agosto	13557	265	308	16	21	80254
19 de agosto	14400	252	335	12	31	80298
20 de agosto	16252	335	390	16	53	80336
21 de agosto	13128	248	345	29	31	80369
22 de agosto	16361	348	415	37	28	80406
23 de agosto	11114	196	299	34	16	80448
24 de agosto	11576	240	287	15	33	80496
25 de agosto	12784	246	325	26	10	80542
26 de agosto	15831	250	264	20	30	80597
27 de agosto	290622	9843	3709	242	869	80752
28 de agosto	1344495	60583	26435	1292	7346	82038
29 de agosto	47280	1013	989	98	157	82125
30 de agosto	73060	1957	1436	65	142	82274
31 de agosto	104648	2989	2019	139	215	82536
1 de setembro	66680	2077	953	35	73	82644
2 de setembro	56544	2115	741	23	56	82722
3 de setembro	59705	1518	817	28	90	82812
4 de setembro	376884	7844	12815	199	691	83331
5 de setembro	528020	11037	24624	212	906	84331
6 de setembro	367091	6759	15914	112	609	85045
7 de setembro	211740	4127	9286	86	384	85534
8 de setembro	99182	3346	3008	39	148	85707
9 de setembro	100038	3848	2345	-239	175	85871
10 de setembro	148608	3228	5432	104	354	86143
11 de setembro	98110	2590	3386	45	198	86335
12 de setembro	125307	2953	4716	64	322	86581
